"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R34","RS-1005","14.2mm","3mm","14.2mm","3mm","14.2mm","3.45mm","B","270.00","4.7K"
"R38","RS-1005","18.8mm","1.7mm","18.8mm","1.7mm","18.8mm","2.15mm","B","270.00","4.7K"
"R36","RS-1005","20mm","1.7mm","20mm","1.7mm","20mm","2.15mm","B","270.00","4.7K"
"R31","RS-1005","27.1mm","-1.3mm","27.1mm","-1.3mm","27.55mm","-1.3mm","B","180.00","4.7K"
"R29","RS-1005","27.1mm","-2.8mm","27.1mm","-2.8mm","27.55mm","-2.8mm","B","180.00","4.7K"
"R30","RS-1005","23.6mm","-0.6mm","23.6mm","-0.6mm","23.6mm","-0.15mm","B","270.00","4.7K"
"J5","12505WS-4P","19.5mm","-15.6084mm","19.5mm","-15.6084mm","17.625mm","-14.0584mm","B","180.00","12505WR-4P"
"BAT1","BAT-CN048S","-18.0899mm","-14.7781mm","-18.0899mm","-14.7781mm","-13.1149mm","-14.7781mm","B","90.00","CN048S-0005//SMD_BAT_HOLDER"
"BC1","CS-1005","12.475mm","-16.6mm","12.475mm","-16.6mm","12.475mm","-16.15mm","B","270.00","0.1uF"
"BC2","CS-1608","8.173mm","16.15mm","8.173mm","16.15mm","8.173mm","15.3499mm","T","90.00","0.1uF"
"BC3","CS-1608","12.4mm","13.5mm","12.4mm","13.5mm","11.5999mm","13.5mm","T","360.00","1uF"
"BC4","CS-1005","16.6632mm","-1.4034mm","16.6632mm","-1.4034mm","16.6632mm","-0.9534mm","B","270.00","0.1uF"
"BC5","CS-1005","15.5mm","-1.4mm","15.5mm","-1.4mm","15.5mm","-0.95mm","B","270.00","0.1uF"
"BC6","CS-1608","16mm","10.2mm","16mm","10.2mm","15.1999mm","10.2mm","T","360.00","10uF"
"BC7","CS-1608","14.7mm","-9.4mm","14.7mm","-9.4mm","13.8999mm","-9.4mm","B","360.00","10uF"
"BC8","CS-1005","18.8178mm","-5.9mm","18.8178mm","-5.9mm","18.8178mm","-6.35mm","B","90.00","0.1uF"
"BC9","CS-1005","13.9mm","-6.8mm","13.9mm","-6.8mm","13.9mm","-7.25mm","B","90.00","0.1uF"
"BC10","CS-1005","21.3mm","1.7mm","21.3mm","1.7mm","21.3mm","1.25mm","B","90.00","0.1uF"
"BC11","CS-1608","20.3mm","2.3mm","20.3mm","2.3mm","20.3mm","1.4999mm","T","90.00","10uF"
"BC12","CS-1005","18.8mm","-2.4mm","18.8mm","-2.4mm","19.25mm","-2.4mm","B","180.00","0.1uF"
"BC13","CS-1005","15.7mm","2.6mm","15.7mm","2.6mm","15.7mm","2.15mm","B","90.00","0.1uF"
"BC14","CS-1005","10.8mm","-5.6mm","10.8mm","-5.6mm","11.25mm","-5.6mm","B","180.00","0.1uF"
"BC15","CS-1005","15.0678mm","-6.8mm","15.0678mm","-6.8mm","15.0678mm","-7.25mm","B","90.00","0.1uF"
"BC16","CS-1005","17.0678mm","-6.8mm","17.0678mm","-6.8mm","17.0678mm","-7.25mm","B","90.00","0.1uF"
